Probe,Gene,logFC
232246_at,IGSF22,-1.421438374243232
210263_at,DCST1,-1.420859416223017
201701_s_at,TCP11L2,-1.4207148821987357
203365_s_at,GPR26,-1.4205206139786797
1552796_a_at,GPR26,-1.4204982814913758
242242_at,KLHL34,-1.4201416579398791
1557457_at,ZSCAN10,-1.4200720048052557
208127_s_at,"GOT1L1, NA",-1.4195753238346078
1558340_at,RBM48,-1.4194715909097535
1570025_at,LINC00504,-1.4193750179398228
46947_at,LDHAL6A,-1.4187178281031139
227520_at,NTN5,-1.4186767965574212
214104_at,TEKTL1,-1.4184230931175972
1564552_at,Unknown,-1.4181713341428774
212759_s_at,C11orf42,-1.4181705731642327
209444_at,"NA, POM121L9P, POM121L15P",-1.4178588793180542
216578_at,ZNF486,-1.417844794510897
200999_s_at,FGD2,-1.4177443337835431
1566956_at,"NBPF6, NBPF4",-1.417336739851243
226846_at,NA,-1.4171404009688275
210177_at,SHOC1,-1.415223257340979
1570108_at,C7orf33,-1.4151100046742846
1557244_a_at,Unknown,-1.4148329880736783
242660_at,LRRC28,-1.4145321688286998
216036_x_at,GATD1-DT,-1.4144005470754737
1562144_at,MIA2,-1.413749213469478
236934_at,GPHB5,-1.4135264296193542
223979_x_at,NA,-1.4134006020005299
1556374_s_at,ALG14,-1.4132805297657038
226771_at,B3GALT6,-1.4127506801812584
33322_i_at,SNX21,-1.412666310377035
220913_at,SNX21,-1.4126481210735016
234092_s_at,Unknown,-1.4121883993210949
236913_at,Unknown,-1.4121725203522177
217606_at,"ADAT3, SCAMP4",-1.4121680669508605
240837_at,"ADAT3, SCAMP4",-1.4120676418544287
AFFX.r2.Bs.dap.3_at,"CBS, NA",-1.4119542988039167
1569448_at,SPINK6,-1.4119042997550795
226314_at,C22orf39,-1.4118181826602614
220543_at,Unknown,-1.4112822237282683
243228_at,DTYMK,-1.4112255056380691
211201_at,MAPKAPK5-AS1,-1.4110904908276247
238352_s_at,NBR2,-1.4105323944876376
224936_at,ASPHD1,-1.410165406630918
233795_at,"DMRTC1B, DMRTC1",-1.4101326801034904
1553443_at,TRIM37,-1.41006346068914
243100_at,ARHGEF28,-1.4100383935690495
201486_at,ARHGEF28,-1.4099791372688388
211943_x_at,LLGL2,-1.4099115077667577
1567257_at,ZNF483,-1.4098061219837061
236666_s_at,OSMR,-1.4096291555670888
222083_at,RSPO2,-1.409310900447507
203786_s_at,BICD1,-1.4083931091366264
230445_at,SKIC3,-1.4075053370312607
1560978_at,ARSB,-1.4073230313706995
227388_at,ARSB,-1.407191898448181
1553188_s_at,FRMD4A,-1.4071384243011387
232839_at,ZBTB24,-1.4069757599472992
220506_at,TMEM239,-1.4067921181312917
223250_at,"NA, TMEM239",-1.4067184700890214
1556015_a_at,ZNF670,-1.4065346632603042
237072_at,TXNDC9,-1.40613293635709
221198_at,CNOT1,-1.4056518976557761
214451_at,SPTLC1,-1.4055043277510166
213613_s_at,ASH1L-AS1,-1.4051872917057475
220491_at,XG,-1.4045361652894457
230646_at,MVB12B,-1.4043591238131687
204935_at,KICS2,-1.4041491177107364
207545_s_at,EPHA8,-1.4039944157631443
231306_at,SLFNL1,-1.403564177111159
238232_at,GALNT18,-1.4029469727641277
237665_at,NOL9,-1.4026857532694585
214175_x_at,DDX51,-1.4023835300055811
1569536_at,TUBGCP3,-1.4022216989436584
224207_x_at,TIRAP,-1.4016182102231345
211428_at,ENTPD5,-1.4013659876886764
221846_s_at,SPIN3,-1.4004798977474204
216832_at,SPIN3,-1.4000655151620125
1552768_at,TMTC4,-1.3998968358958337
